gene	cell_type	stager_p	drimseq_p	ct_isoform	ad_isoform	mechanism_class	mechanism_detail	bisect_stage2	tier
ZNF736	Excitatory_neuron	2.67e-24	9.91e-28	ZNF736-202	transcript76787.chr7.nnic	Domain loss	KRAB+C2H2 완전 소실 → NNIC 이소폼에 InterPro annotation 없음 (Δfrac=−0.786). KRAB-ZFP 전사억제 기능 소실 → KAP1/H3K9me3 타겟 derepression 예측	PASS (8 domains lost)	A-DR
ZNF582	Excitatory_neuron	7.21e-11	—	transcript145765.chr19.nnic	ZNF582-202	Alternative TSS	C-terminal 517 aa 100% 동일; N-terminal +31 aa 추가. KRAB 위치 31 aa 이동 (aa8-66 → aa39-97). 내부 alternative splicing 완전 배제. 도메인 구성 동일 (예상)	PASS (Alt-TSS, 도메인 동일)	A-DR
NDUFAF5	Excitatory_neuron	1.43e-04	1.60e-07	NDUFAF5-202	NDUFAF5-201	NMD + C-term loss	Cassette exon 9 (+2 frameshift, PTC 2675 nt upstream of EJC) → NMD target. AD에서 NMD-target 이소폼 누적. C-terminal 78 aa 소실 → NDUFS4 N-module integration 불가. Leigh syndrome 유전자	PASS (NMD; Pfam 도메인 외 C-term 소실)	A-DR
DCAF5	Excitatory_neuron	4.24e-02	—	DCAF5-201	DCAF5-209	Domain gain (WD40)	CRL4 ubiquitin ligase substrate receptor. AD 이소폼 MIOS_WD40 도메인 획득 → 새로운 기질 인식 가능성	PASS (MIOS_WD40 gained)	A-DR
RPS3	Excitatory_neuron	4.77e-02	—	RPS3-209	RPS3-217	Isoform switch	40S ribosomal protein; BER endonuclease VIII DNA repair. 두 이소폼 Pfam 도메인 동일 → 조절 서열 또는 UTR 차이	PASS (domains conserved)	A-DR
USP1	Oligodendrocyte	7.66e-05	—	USP1-201	USP1-202	Isoform switch	Deubiquitylase; FANCD2/PCNA regulation; DNA damage response. 두 이소폼 동일 길이 (785 aa), Pfam 동일 → 내부 exon 차이	PASS (domains conserved)	A-DR
SAMHD1	Inhibitory_neuron	7.68e-03	7.20e-22	SAMHD1-221	SAMHD1-225	NMD + tetramer loss	dNTP hydrolase; innate immune sensing; LINE-1 restriction. NMD switch + tetramerization domain 소실. Pfam 표현 부재하나 생화학적 확인 필요	PASS (NMD; tetramer 확인 보류)	A-DR
DDX19A	Inhibitory_neuron	7.68e-03	—	DDX19A-201	DDX19A-209	C-term truncation	DEAD-box RNA helicase; mRNA nuclear export. AD 이소폼 301 aa (CT 478 aa) → C-terminal 177 aa 소실 (helicase_C 도메인 가능)	PASS (C-term 177 aa 소실)	A-DR
AZIN1	Inhibitory_neuron	4.36e-02	—	AZIN1-201	AZIN1-216	Isoform switch	Antizyme inhibitor 1; polyamine biosynthesis regulation. 두 이소폼 동일 길이 (448 aa), 도메인 동일 → 내부 exon 차이	PASS (domains conserved)	A-DR
CNOT11	Oligodendrocyte	3.48e-02	—	CNOT11-201	transcript223081.chr2.nic	Isoform switch (NIC)	CCR4-NOT deadenylation complex; mRNA decay. NIC 이소폼 (447 aa) CT 이소폼 (510 aa)과 TSS 113 bp 이동 + TTS 1169 bp 이동	PASS (NIC isoform; TSS+TTS shift)	A-DR
DIS3	Oligodendrocyte	4.93e-02	—	DIS3-201	DIS3-202	Domain loss	RNA exosome catalytic subunit; 3'→5' ribonuclease. AD 이소폼에서 Toxin_R_bind_C 도메인 소실 → RNase II/R 활성 변화 가능	PASS (Toxin_R_bind_C lost)	A-DR
DOCK10	Microglia	1.15e-03	4.70e-22	DOCK10-201	DOCK10-202	Minor exon	6 aa 차이 (non-conserved linker). DHR1/DHR2/PH 도메인 모두 보존. Per-donor MWU p=0.005**, Δ=−0.573, dir=1.00	PASS (minor exon; domains conserved)	A-DR
ERCC6L2	Astrocyte	1.11e-02	—	ERCC6L2-201	ERCC6L2-211	Domain loss	SWI/SNF helicase; genome stability; bone marrow failure. AD 이소폼 DEAD+ERCC3_RAD25_C+HDA2-3+Helicase_C 도메인 소실 → 절두된 이소폼 (212 aa vs 712 aa)	PASS (DEAD+4 helicase domains lost)	A-DR
NOL8	Microglia	3.85e-02	—	NOL8-205	NOL8-208	Isoform switch	Nucleolar protein 8; rRNA processing. 두 이소폼 길이 상이 (969 vs 1167 aa), Pfam 도메인 분석 중	PASS (isoform length diff 198 aa)	A-DR
