cell_type	gene	n_AD	n_CT	AD_ratio	CT_ratio	delta	p	sig
Astrocyte	NDUFS7	8	5	0.8906	0.9988	-0.1082	0.90736	ns
Excitatory_neuron	KIF21B	4	2	0.0	0.4333	-0.4333	0.288844	ns
Excitatory_neuron	NDUFS4	5	5	0.1889	0.4458	-0.2569	0.243321	ns
Excitatory_neuron	NDUFS7	9	8	0.9486	1.0	-0.0514	0.045071	*
Excitatory_neuron	NDUFS8	7	6	0.8011	0.9535	-0.1524	0.339485	ns
Excitatory_neuron	DLG1	9	6	0.574	0.8192	-0.2453	0.314302	ns
Inhibitory_neuron	KIF21B	2	3	0.0	0.0952	-0.0952	0.683091	ns
Inhibitory_neuron	NDUFS4	4	3	0.0833	0.4037	-0.3204	0.098729	†
Inhibitory_neuron	NDUFS7	9	7	0.9781	0.8994	0.0787	1.0	ns
Inhibitory_neuron	NDUFS8	7	5	0.62	0.9895	-0.3694	0.056536	†
Inhibitory_neuron	DLG1	4	3	0.5833	0.8333	-0.25	0.558452	ns
OPC	NDUFS7	6	5	0.9848	0.96	0.0248	0.892295	ns
OPC	NDUFS8	4	5	0.7917	0.8	-0.0083	1.0	ns
Oligodendrocyte	NDUFS4	3	3	0.2519	0.1569	0.095	0.375825	ns
Oligodendrocyte	NDUFS7	10	6	1.0	0.9994	0.0006	0.245278	ns
Oligodendrocyte	DLG1	6	3	0.0139	0.3333	-0.3194	0.595883	ns
